"","name","turtle","from","turtle","to","united"
"1","make-edge","turtle",2,"turtle",1,"make-edge turtle  2 turtle  1"
"2","make-edge","turtle",3,"turtle",1,"make-edge turtle  3 turtle  1"
"3","make-edge","turtle",3,"turtle",2,"make-edge turtle  3 turtle  2"
"4","make-edge","turtle",4,"turtle",1,"make-edge turtle  4 turtle  1"
"5","make-edge","turtle",4,"turtle",2,"make-edge turtle  4 turtle  2"
"6","make-edge","turtle",5,"turtle",1,"make-edge turtle  5 turtle  1"
"7","make-edge","turtle",5,"turtle",2,"make-edge turtle  5 turtle  2"
"8","make-edge","turtle",5,"turtle",3,"make-edge turtle  5 turtle  3"
"9","make-edge","turtle",5,"turtle",4,"make-edge turtle  5 turtle  4"
"10","make-edge","turtle",6,"turtle",1,"make-edge turtle  6 turtle  1"
"11","make-edge","turtle",6,"turtle",2,"make-edge turtle  6 turtle  2"
"12","make-edge","turtle",6,"turtle",3,"make-edge turtle  6 turtle  3"
"13","make-edge","turtle",6,"turtle",4,"make-edge turtle  6 turtle  4"
"14","make-edge","turtle",6,"turtle",5,"make-edge turtle  6 turtle  5"
"15","make-edge","turtle",7,"turtle",1,"make-edge turtle  7 turtle  1"
"16","make-edge","turtle",7,"turtle",2,"make-edge turtle  7 turtle  2"
"17","make-edge","turtle",7,"turtle",3,"make-edge turtle  7 turtle  3"
"18","make-edge","turtle",7,"turtle",4,"make-edge turtle  7 turtle  4"
"19","make-edge","turtle",7,"turtle",5,"make-edge turtle  7 turtle  5"
"20","make-edge","turtle",7,"turtle",6,"make-edge turtle  7 turtle  6"
"21","make-edge","turtle",8,"turtle",1,"make-edge turtle  8 turtle  1"
"22","make-edge","turtle",8,"turtle",2,"make-edge turtle  8 turtle  2"
"23","make-edge","turtle",8,"turtle",3,"make-edge turtle  8 turtle  3"
"24","make-edge","turtle",8,"turtle",5,"make-edge turtle  8 turtle  5"
"25","make-edge","turtle",8,"turtle",6,"make-edge turtle  8 turtle  6"
"26","make-edge","turtle",8,"turtle",7,"make-edge turtle  8 turtle  7"
"27","make-edge","turtle",9,"turtle",1,"make-edge turtle  9 turtle  1"
"28","make-edge","turtle",9,"turtle",2,"make-edge turtle  9 turtle  2"
"29","make-edge","turtle",9,"turtle",3,"make-edge turtle  9 turtle  3"
"30","make-edge","turtle",9,"turtle",4,"make-edge turtle  9 turtle  4"
"31","make-edge","turtle",9,"turtle",5,"make-edge turtle  9 turtle  5"
"32","make-edge","turtle",9,"turtle",6,"make-edge turtle  9 turtle  6"
"33","make-edge","turtle",9,"turtle",7,"make-edge turtle  9 turtle  7"
"34","make-edge","turtle",9,"turtle",8,"make-edge turtle  9 turtle  8"
"35","make-edge","turtle",10,"turtle",1,"make-edge turtle 10 turtle  1"
"36","make-edge","turtle",10,"turtle",2,"make-edge turtle 10 turtle  2"
"37","make-edge","turtle",10,"turtle",3,"make-edge turtle 10 turtle  3"
"38","make-edge","turtle",10,"turtle",4,"make-edge turtle 10 turtle  4"
"39","make-edge","turtle",10,"turtle",5,"make-edge turtle 10 turtle  5"
"40","make-edge","turtle",10,"turtle",6,"make-edge turtle 10 turtle  6"
"41","make-edge","turtle",10,"turtle",7,"make-edge turtle 10 turtle  7"
"42","make-edge","turtle",10,"turtle",8,"make-edge turtle 10 turtle  8"
"43","make-edge","turtle",10,"turtle",9,"make-edge turtle 10 turtle  9"
"44","make-edge","turtle",11,"turtle",1,"make-edge turtle 11 turtle  1"
"45","make-edge","turtle",11,"turtle",2,"make-edge turtle 11 turtle  2"
"46","make-edge","turtle",11,"turtle",3,"make-edge turtle 11 turtle  3"
"47","make-edge","turtle",11,"turtle",4,"make-edge turtle 11 turtle  4"
"48","make-edge","turtle",11,"turtle",5,"make-edge turtle 11 turtle  5"
"49","make-edge","turtle",11,"turtle",6,"make-edge turtle 11 turtle  6"
"50","make-edge","turtle",11,"turtle",7,"make-edge turtle 11 turtle  7"
"51","make-edge","turtle",11,"turtle",8,"make-edge turtle 11 turtle  8"
"52","make-edge","turtle",11,"turtle",9,"make-edge turtle 11 turtle  9"
"53","make-edge","turtle",11,"turtle",10,"make-edge turtle 11 turtle 10"
"54","make-edge","turtle",12,"turtle",1,"make-edge turtle 12 turtle  1"
"55","make-edge","turtle",12,"turtle",2,"make-edge turtle 12 turtle  2"
"56","make-edge","turtle",12,"turtle",3,"make-edge turtle 12 turtle  3"
"57","make-edge","turtle",12,"turtle",4,"make-edge turtle 12 turtle  4"
"58","make-edge","turtle",12,"turtle",5,"make-edge turtle 12 turtle  5"
"59","make-edge","turtle",12,"turtle",6,"make-edge turtle 12 turtle  6"
"60","make-edge","turtle",12,"turtle",8,"make-edge turtle 12 turtle  8"
"61","make-edge","turtle",12,"turtle",9,"make-edge turtle 12 turtle  9"
"62","make-edge","turtle",12,"turtle",10,"make-edge turtle 12 turtle 10"
"63","make-edge","turtle",12,"turtle",11,"make-edge turtle 12 turtle 11"
"64","make-edge","turtle",13,"turtle",1,"make-edge turtle 13 turtle  1"
"65","make-edge","turtle",13,"turtle",2,"make-edge turtle 13 turtle  2"
"66","make-edge","turtle",13,"turtle",3,"make-edge turtle 13 turtle  3"
"67","make-edge","turtle",13,"turtle",4,"make-edge turtle 13 turtle  4"
"68","make-edge","turtle",13,"turtle",5,"make-edge turtle 13 turtle  5"
"69","make-edge","turtle",13,"turtle",6,"make-edge turtle 13 turtle  6"
"70","make-edge","turtle",13,"turtle",7,"make-edge turtle 13 turtle  7"
"71","make-edge","turtle",13,"turtle",8,"make-edge turtle 13 turtle  8"
"72","make-edge","turtle",13,"turtle",9,"make-edge turtle 13 turtle  9"
"73","make-edge","turtle",13,"turtle",10,"make-edge turtle 13 turtle 10"
"74","make-edge","turtle",13,"turtle",11,"make-edge turtle 13 turtle 11"
"75","make-edge","turtle",13,"turtle",12,"make-edge turtle 13 turtle 12"
"76","make-edge","turtle",14,"turtle",1,"make-edge turtle 14 turtle  1"
"77","make-edge","turtle",14,"turtle",2,"make-edge turtle 14 turtle  2"
"78","make-edge","turtle",14,"turtle",3,"make-edge turtle 14 turtle  3"
"79","make-edge","turtle",14,"turtle",4,"make-edge turtle 14 turtle  4"
"80","make-edge","turtle",14,"turtle",5,"make-edge turtle 14 turtle  5"
"81","make-edge","turtle",14,"turtle",6,"make-edge turtle 14 turtle  6"
"82","make-edge","turtle",14,"turtle",7,"make-edge turtle 14 turtle  7"
"83","make-edge","turtle",14,"turtle",8,"make-edge turtle 14 turtle  8"
"84","make-edge","turtle",14,"turtle",9,"make-edge turtle 14 turtle  9"
"85","make-edge","turtle",14,"turtle",10,"make-edge turtle 14 turtle 10"
"86","make-edge","turtle",14,"turtle",11,"make-edge turtle 14 turtle 11"
"87","make-edge","turtle",14,"turtle",12,"make-edge turtle 14 turtle 12"
"88","make-edge","turtle",14,"turtle",13,"make-edge turtle 14 turtle 13"
"89","make-edge","turtle",15,"turtle",1,"make-edge turtle 15 turtle  1"
"90","make-edge","turtle",15,"turtle",2,"make-edge turtle 15 turtle  2"
"91","make-edge","turtle",15,"turtle",3,"make-edge turtle 15 turtle  3"
"92","make-edge","turtle",15,"turtle",4,"make-edge turtle 15 turtle  4"
"93","make-edge","turtle",15,"turtle",5,"make-edge turtle 15 turtle  5"
"94","make-edge","turtle",15,"turtle",6,"make-edge turtle 15 turtle  6"
"95","make-edge","turtle",15,"turtle",7,"make-edge turtle 15 turtle  7"
"96","make-edge","turtle",15,"turtle",8,"make-edge turtle 15 turtle  8"
"97","make-edge","turtle",15,"turtle",9,"make-edge turtle 15 turtle  9"
"98","make-edge","turtle",15,"turtle",10,"make-edge turtle 15 turtle 10"
"99","make-edge","turtle",15,"turtle",11,"make-edge turtle 15 turtle 11"
"100","make-edge","turtle",15,"turtle",12,"make-edge turtle 15 turtle 12"
"101","make-edge","turtle",15,"turtle",13,"make-edge turtle 15 turtle 13"
"102","make-edge","turtle",15,"turtle",14,"make-edge turtle 15 turtle 14"
"103","make-edge","turtle",16,"turtle",1,"make-edge turtle 16 turtle  1"
"104","make-edge","turtle",16,"turtle",2,"make-edge turtle 16 turtle  2"
"105","make-edge","turtle",16,"turtle",4,"make-edge turtle 16 turtle  4"
"106","make-edge","turtle",16,"turtle",5,"make-edge turtle 16 turtle  5"
"107","make-edge","turtle",16,"turtle",6,"make-edge turtle 16 turtle  6"
"108","make-edge","turtle",16,"turtle",7,"make-edge turtle 16 turtle  7"
"109","make-edge","turtle",16,"turtle",9,"make-edge turtle 16 turtle  9"
